n,per_day,hit_rate,win_rate,mean_pct,median_pct,pl_ratio,front_mean_pct,back_mean_pct,both_halves_positive,spike_mean_pct,spike_median_pct,label,k
11829,8.71,71.477,46.978,0.638,-0.26,1.575,-0.543,1.4046,False,4.0855,2.2505,clv≥0.85 & vol_ratio≥2.5 & breadth≥55,3
5766,4.25,73.795,48.977,0.3997,-0.0706,1.4,-0.4911,0.9607,False,2.8212,1.93,clv≥0.95 & vol_ratio≥1.5 & rsi6≤60,3
17528,12.91,75.234,48.825,0.3196,-0.0733,1.346,-0.3383,0.7706,False,2.7329,1.8737,clv≥0.85 & vol_ratio≥1.5 & rsi6≤60,3
14578,10.73,69.831,43.902,0.3128,-0.5321,1.511,-0.6707,1.0512,False,3.7439,2.0064,clv≥0.85 & vol_ratio≥2.5 & breadth≥45,3
23494,17.3,73.585,44.926,0.2689,-0.26,1.489,-0.476,0.7123,False,2.8693,1.7352,clv≥0.95 & vol_ratio≥1.5 & breadth≥55,3
24804,18.27,70.739,44.251,0.258,-0.4787,1.447,-0.5348,0.8175,False,3.7082,2.0089,clv≥0.7 & vol_ratio≥2.5 & breadth≥55,3
12759,9.4,70.264,43.17,0.2429,-0.4975,1.544,-0.5134,1.0296,False,3.2754,1.7949,clv≥0.85 & vol_ratio≥2.5 & turnover≤8,3
67493,49.7,74.434,44.633,0.2416,-0.26,1.486,-0.3346,0.6421,False,2.8843,1.6929,clv≥0.85 & vol_ratio≥1.5 & breadth≥55,3
11115,8.18,68.709,43.257,0.206,-0.6149,1.45,-0.7705,1.0027,False,3.9024,2.1119,clv≥0.85 & vol_ratio≥2.5 & hhv60_pos≥0.95,3
10942,8.06,68.415,41.683,0.202,-0.5719,1.611,-0.6095,0.9267,False,3.1142,1.5966,clv≥0.85 & vol_ratio≥2.5 & atr_pct≤3.5,3
