name,n,wr,avg,pf,comp,mdd
P30_ql_raw_tail|b35|rk_volr|tp35,63,73.01587301587301,1.072120634920635,2.614612492141315,91.98555721516581,-11.266801743691445
P30_ql_raw_tail|b35|rk_score|tp35,63,73.01587301587301,1.072120634920635,2.614612492141315,91.98555721516581,-11.266801743691445
P19_ql_near|b35|rk_r1|tp35,57,70.17543859649123,0.9279877192982456,2.3960632269609303,66.37059763200006,-12.415543543996076
P19_ql_near|b35|rk_roc5|tp35,57,70.17543859649123,0.8909736842105263,2.3519654351749804,63.092065337523806,-11.590580247282933
P06_heima10|b35|rk_score|tp4,58,65.51724137931035,0.9870913793103449,2.0198660042290077,71.39095066791481,-16.461912651230737
P06_heima10|b40|rk_score|tp4,50,68.0,0.966396,1.9604870834625383,57.33310769443993,-16.461912651230715
P02_tail_main|b35|rk_score|noTP,57,52.63157894736842,0.9639754385964913,1.9236026598713096,65.27184543673347,-19.028512540095033
P02_tail_main|b40|rk_score|noTP,49,53.06122448979592,0.9645489795918367,1.8913794599243337,53.801705478369286,-17.375405771122455
P06_heima10|b35|rk_score|noTP,58,58.62068965517241,0.8776034482758621,1.8566336473700689,59.26513792337398,-15.43559218181615
P07_heima_lite|b35|rk_volr|tp35,58,63.793103448275865,0.8104310344827587,1.8552288039532838,55.56239217634875,-16.8647388029752
P06_heima10|b35|rk_score|tp35,58,65.51724137931035,0.8167206896551724,1.8438384568931578,55.83870958962931,-16.86473880297519
P06_heima10|b40|rk_score|tp35,50,68.0,0.808766,1.8038208938609672,45.84939261380907,-16.8647388029752
P06_heima10|b40|rk_score|noTP,50,60.0,0.851528,1.7944647732001278,47.26032116207905,-15.43559218181615
P06_heima10|b35|rk_score|tp3,58,68.96551724137932,0.7242120689655173,1.7771637168305328,48.18416589819512,-17.26756495471968
P06_heima10|b40|rk_score|tp3,50,72.0,0.741456,1.7688309964599533,41.406351110914684,-17.26756495471968
P02_tail_main|b35|rk_score|tp4,57,56.14035087719298,0.7295964912280701,1.7524566523667275,47.4732908254414,-16.635269094323178
P07_heima_lite|b35|rk_score|tp35,58,63.793103448275865,0.7341344827586207,1.7374900625431922,48.604797205344695,-16.8647388029752
P02_tail_main|b40|rk_score|tp4,49,57.142857142857146,0.6795183673469387,1.6823186588222276,36.251991390749104,-14.933302077575561
P19_ql_near|b35|rk_clv|tp35,57,63.1578947368421,0.5671929824561404,1.6245568891541922,35.18780953365628,-13.496192417053155
P06_heima10|b35|rk_volr|tp35,58,63.793103448275865,0.674344827586207,1.6222585669534118,43.342795363350106,-21.256522022362013
P24_sweet_tight|b40|rk_score|noTP,52,36.53846153846154,0.7348557692307692,1.6213050943359413,38.967103449613205,-18.95046011993057
P30_ql_raw_tail|b0|rk_volr|tp35,101,66.33663366336634,0.5799633663366336,1.5953928845141316,72.14667227186217,-14.752269277424812
P30_ql_raw_tail|b0|rk_score|tp35,101,66.33663366336634,0.5799633663366336,1.5953928845141316,72.14667227186217,-14.752269277424812
